"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5742","R8 - Clicking DevMode button 10 times should enable DevMode","desktop-chrome","Thu Dec 12 14:05:23 GMT 2024","passed","Thu Dec 12 14:05:29 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","5109","I12 - Highlighted border should appear when clicked into the username textbox","desktop-chrome","Thu Dec 12 14:00:27 GMT 2024","passed","Thu Dec 12 14:00:32 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","18163","B52 and B53 - Sending and receiving files tests","mobile-chrome","Thu Dec 12 13:56:34 GMT 2024","passed","Thu Dec 12 13:56:52 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","4802","C1 - Clicking Create Chat should open modal with option for Group Name and Group Members","desktop-chrome","Thu Dec 12 13:59:12 GMT 2024","passed","Thu Dec 12 13:59:17 GMT 2024","Chats Sidebar Tests","05-chats-sidebar.spec.ts","",""
"","1","K15 - Emoji Font dropdown should show expected emoji font names","mobile-chrome","Thu Dec 12 14:03:16 GMT 2024","skipped","Thu Dec 12 14:03:16 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5537","I14 - Highlighted border should appear when user is clicked into Status textbox","mobile-chrome","Thu Dec 12 14:01:02 GMT 2024","passed","Thu Dec 12 14:01:08 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","5002","M6 - User should be able to toggle on and off Interface Sounds","desktop-chrome","Thu Dec 12 14:03:20 GMT 2024","passed","Thu Dec 12 14:03:25 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","0","K15 - Emoji Font dropdown should show expected emoji font names","desktop-chrome","Thu Dec 12 14:02:40 GMT 2024","skipped","Thu Dec 12 14:02:40 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5091","K3 - Selected Fonts should be applied everywhere throughout the app","desktop-chrome","Thu Dec 12 14:01:48 GMT 2024","passed","Thu Dec 12 14:01:53 GMT 2024","Settings Customization Tests","09-settings-customizations.spec.ts","",""
"","5410","I22 - Clicking copy should copy the Recovery Phrase to the users clipboard","desktop-chrome","Thu Dec 12 14:01:12 GMT 2024","passed","Thu Dec 12 14:01:17 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","6558","R5 - Clicking Open Source Code should take you to the source code","mobile-chrome","Thu Dec 12 14:05:58 GMT 2024","passed","Thu Dec 12 14:06:04 GMT 2024","Settings About Tests","18-settings-about.spec.ts","",""
"","5550","M1 and M2 - Input dropdown and input volume indicator should display","mobile-chrome","Thu Dec 12 14:03:44 GMT 2024","passed","Thu Dec 12 14:03:49 GMT 2024","Settings Audio and Video Tests","11-settings-audio-video.spec.ts","",""
"","5424","I9, I10 - User should be able to change username and see toast notification of change","desktop-chrome","Thu Dec 12 14:00:16 GMT 2024","passed","Thu Dec 12 14:00:22 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
"","18822","B20 - Pin Messages Tests","desktop-chrome","Thu Dec 12 13:55:33 GMT 2024","passed","Thu Dec 12 13:55:52 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","26510","Chat Replies Tests","desktop-chrome","Thu Dec 12 13:57:50 GMT 2024","passed","Thu Dec 12 13:58:17 GMT 2024","Two instances tests - Friends and Chats","03-friends-two-instances.spec.ts","",""
"","5132","A14 - If Stay Unlocked is toggled on, user should be redirected to enter PIN after logging off","mobile-chrome","Thu Dec 12 13:52:01 GMT 2024","passed","Thu Dec 12 13:52:06 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","2501","A5 - Settings dropdown should show option to Scramble numberpad and option to stay unlocked","desktop-chrome","Thu Dec 12 13:51:40 GMT 2024","passed","Thu Dec 12 13:51:42 GMT 2024","Create Account and Login Tests","01-pin-input.spec.ts","",""
"","4998","I23 - User should be able to click checkbox to determine whether they want to store Recovery Phrase on account","desktop-chrome","Thu Dec 12 14:01:17 GMT 2024","passed","Thu Dec 12 14:01:22 GMT 2024","Settings Profile Tests","07-settings-profile.spec.ts","",""
